Ingrediente,Quantita,Unita di misura,Nome Piatto
 Maiale polpa,400,g,Maiale in agrodolce
 Carote,1,pezzi,Maiale in agrodolce
 Peperoni rossi,1,pezzi,Maiale in agrodolce
 Peperoni verdi,1,pezzi,Maiale in agrodolce
 Cipolle,1,pezzi,Maiale in agrodolce
 Ananas,150,g,Maiale in agrodolce
 Olio extravergine d'oliva,2,cucchiai,Maiale in agrodolce
 Farina 00,80,g,Maiale in agrodolce
 Lievito in polvere per dolci,05,Metti dell'ingrediente,Maiale in agrodolce
 Olio di semi,1,cucchiaio,Maiale in agrodolce
 Acqua,qb,na,Maiale in agrodolce
 Passata di pomodoro,200,ml,Maiale in agrodolce
 Zucchero di canna,100,g,Maiale in agrodolce
 Aceto di vino bianco,100,ml,Maiale in agrodolce
 Amido di mais (maizena),2,cucchiai,Maiale in agrodolce
 Acqua,200,ml,Maiale in agrodolce
 Succo di ananas,3,cucchiai,Maiale in agrodolce
 Salsa di soia,2,cucchiai,Maiale in agrodolce
 Vitello polpa a quadrotti,800,g,Spezzatino di vitello coi funghi
 Olio extravergine d'oliva,5,cucchiai,Spezzatino di vitello coi funghi
 Brodo di carne,qb,na,Spezzatino di vitello coi funghi
 Farina 00 raso,1,cucchiaio,Spezzatino di vitello coi funghi
 Sedano,1,costa,Spezzatino di vitello coi funghi
 Carote,1,pezzi,Spezzatino di vitello coi funghi
 Cipolle dorate media,1,pezzi,Spezzatino di vitello coi funghi
 Sale fino,qb,na,Spezzatino di vitello coi funghi
 Pepe nero,qb,na,Spezzatino di vitello coi funghi
 Funghi champignon,400,g,Spezzatino di vitello coi funghi
 Aglio,2,spicchi,Spezzatino di vitello coi funghi
 Olio extravergine d'oliva,2,cucchiai,Spezzatino di vitello coi funghi
 Prezzemolo tritato,2,cucchiai,Spezzatino di vitello coi funghi
 Carne di suino stinco 1 da,800,g,Stinco di maiale al forno con patate
 Patate piccole,500,g,Stinco di maiale al forno con patate
 Carote,1,pezzi,Stinco di maiale al forno con patate
 Sedano la costa,1,pezzi,Stinco di maiale al forno con patate
 Cipolle piccola,1,pezzi,Stinco di maiale al forno con patate
 Aglio,1,spicchio,Stinco di maiale al forno con patate
 Sale,qb,na,Stinco di maiale al forno con patate
 Pepe,qb,na,Stinco di maiale al forno con patate
 Olio di oliva extravergine,60,g,Stinco di maiale al forno con patate
 Salvia,qb,na,Stinco di maiale al forno con patate
 Ginepro le bacche,4,pezzi,Stinco di maiale al forno con patate
 Rosmarino,2,rametti,Stinco di maiale al forno con patate
 Acqua,150,g,Stinco di maiale al forno con patate
 Vino rosso,50,g,Stinco di maiale al forno con patate
 Alloro,2,foglie,Stinco di maiale al forno con patate
 Baccala dissalato,500,g,Baccala in umido
 Cipolle dorate,200,g,Baccala in umido
 Farina 00,100,g,Baccala in umido
 Passata di pomodoro,600,g,Baccala in umido
 Olio extravergine d'oliva,40,g,Baccala in umido
 Capperi sotto sale (da dissalare),30,g,Baccala in umido
 Olive taggiasche,60,g,Baccala in umido
 Origano secco,1,cucchiaio,Baccala in umido
 Vino bianco,40,g,Baccala in umido
 Pepe nero,qb,na,Baccala in umido
 Sale fino,qb,na,Baccala in umido
 Prezzemolo,qb,na,Baccala in umido
 Petto di pollo intero,600,g,Cordon bleu
 Prosciutto cotto (2 fette),50,g,Cordon bleu
 Groviera (2 pezzi),40,g,Cordon bleu
 Uova,2,pezzi,Cordon bleu
 Pangrattato,qb,na,Cordon bleu
 Sale fino,qb,na,Cordon bleu
 Olio di semi,qb,na,Cordon bleu
 Alette di pollo,8,pezzi,Ali di pollo e patate saporite
 Patate,500,g,Ali di pollo e patate saporite
 Pangrattato,200,g,Ali di pollo e patate saporite
 Farina 00,50,g,Ali di pollo e patate saporite
 Parmigiano Reggiano DOP da grattugiare,50,g,Ali di pollo e patate saporite
 Uova,2,pezzi,Ali di pollo e patate saporite
 Prezzemolo da tritare,qb,na,Ali di pollo e patate saporite
 Olio extravergine d'oliva,qb,na,Ali di pollo e patate saporite
 Sale fino,qb,na,Ali di pollo e patate saporite
 Calamari (da pulire),1,kg,Calamari alla griglia al limone
 Pane,220,g,Calamari alla griglia al limone
 Succo di limone,60,g,Calamari alla griglia al limone
 Scorza di limone,1,pezzi,Calamari alla griglia al limone
 Basilico,30,g,Calamari alla griglia al limone
 Olio extravergine d'oliva,50,g,Calamari alla griglia al limone
 Sale fino,qb,na,Calamari alla griglia al limone
 Pepe nero,qb,na,Calamari alla griglia al limone
 Lonza di maiale,800,g,Spezzatino di maiale
 Patate,450,g,Spezzatino di maiale
 Sedano,1,costa,Spezzatino di maiale
 Carote,1,pezzi,Spezzatino di maiale
 Cipolle bianche,1,pezzi,Spezzatino di maiale
 Rosmarino,2,rametti,Spezzatino di maiale
 Burro,20,g,Spezzatino di maiale
 Birra scura,800,g,Spezzatino di maiale
 Sale fino,qb,na,Spezzatino di maiale
 Pepe nero,qb,na,Spezzatino di maiale
 Farina 00 (per infarinare),50,g,Spezzatino di maiale
 Aglio,1,spicchio,Spezzatino di maiale
 Uova ( circa 6),305,g,Frittata con pomodori e basilico
 Pomodorini datterini,200,g,Frittata con pomodori e basilico
 Basilico,6,g,Frittata con pomodori e basilico
 Cipolle rosse,40,g,Frittata con pomodori e basilico
 Parmigiano Reggiano DOP da grattugiare,50,g,Frittata con pomodori e basilico
 Paprika dolce ,075,3/4i dell'ingrediente,Frittata con pomodori e basilico
 Sale fino,qb,na,Frittata con pomodori e basilico
 Olio extravergine d'oliva,qb,na,Frittata con pomodori e basilico
 Manzo (taglio per roast-beef),650,g,Roast beef in crosta di sale
 Sale grosso grosso,2,kg,Roast beef in crosta di sale
 Rosmarino,5,g,Roast beef in crosta di sale
 Alloro,5,g,Roast beef in crosta di sale
 Timo,5,g,Roast beef in crosta di sale
 Acqua,30,g,Roast beef in crosta di sale
 Filetto di manzo,400,g,Carpaccio di manzo con rucola e grana
 Grana Padano DOP in scaglie,100,g,Carpaccio di manzo con rucola e grana
 Rucola,100,g,Carpaccio di manzo con rucola e grana
 Succo di limone,70,g,Carpaccio di manzo con rucola e grana
 Olio extravergine d'oliva,100,ml,Carpaccio di manzo con rucola e grana
 Sale fino,qb,na,Carpaccio di manzo con rucola e grana
 Pepe nero,qb,na,Carpaccio di manzo con rucola e grana
 Carne bovina macinata,1,kg,Polpettone ripieno
 Bacon a fette,240,g,Polpettone ripieno
 Uova,1,pezzi,Polpettone ripieno
 Parmigiano Reggiano DOP da grattugiare,50,g,Polpettone ripieno
 Sale fino,qb,na,Polpettone ripieno
 Pepe nero,qb,na,Polpettone ripieno
 Edamer,200,g,Polpettone ripieno
 Prosciutto cotto a fette,150,g,Polpettone ripieno
 Spinacini,80,g,Polpettone ripieno
 Agnello,1,kg,Agnello al forno con patate
 Patate rosse,1,kg,Agnello al forno con patate
 Cipollotti,1,pezzi,Agnello al forno con patate
 Aglio,1,pezzi,Agnello al forno con patate
 Succo di limone,1,pezzi,Agnello al forno con patate
 Acqua,200,g,Agnello al forno con patate
 Vino bianco secco,80,g,Agnello al forno con patate
 Timo,3,rametti,Agnello al forno con patate
 Rosmarino,2,rametti,Agnello al forno con patate
 Salvia,4,foglie,Agnello al forno con patate
 Alloro,2,foglie,Agnello al forno con patate
 Bacche di ginepro,5,pezzi,Agnello al forno con patate
 Sale fino,qb,na,Agnello al forno con patate
 Pepe nero,qb,na,Agnello al forno con patate
 Olio extravergine d'oliva,qb,na,Agnello al forno con patate
 Carne bovina per bollito,1,kg,Bollito
 Cipolle bianche ( circa 1),120,g,Bollito
 Sedano coste,2,pezzi,Bollito
 Carote (circa 1),110,g,Bollito
 Prezzemolo,1,ciuffo,Bollito
 Timo,1,rametto,Bollito
 Alloro,3,foglie,Bollito
 Chiodi di garofano,3,pezzi,Bollito
 Pepe nero in grani,4,pezzi,Bollito
 Sale grosso,15,g,Bollito
 Acqua,4,l,Bollito
 Sarde 18 sarde per un totale di circa,250,g,Sarde al forno
 Pangrattato,60,g,Sarde al forno
 Olio extravergine d'oliva,60,g,Sarde al forno
 Prezzemolo,1,ciuffo,Sarde al forno
 Timo,1,rametto,Sarde al forno
 Aglio,1,spicchio,Sarde al forno
 Grana Padano DOP grattugiato,20,g,Sarde al forno
 Pinoli,30,g,Sarde al forno
 Olio extravergine d'oliva per ungere la teglia,15,g,Sarde al forno
 Pesce spada,480,g,Pesce spada in salmoriglio
 Olio extravergine d'oliva,300,g,Pesce spada in salmoriglio
 Limoni,2,pezzi,Pesce spada in salmoriglio
 Prezzemolo,20,g,Pesce spada in salmoriglio
 Aglio,1,spicchio,Pesce spada in salmoriglio
 Sale fino,qb,na,Pesce spada in salmoriglio
 Pepe nero,qb,na,Pesce spada in salmoriglio
 Farina 00,200,g,Filetto di maiale in crosta
 Burro freddo,100,g,Filetto di maiale in crosta
 Acqua fredda,50,g,Filetto di maiale in crosta
 Sale fino,qb,na,Filetto di maiale in crosta
 Filetto di maiale,540,g,Filetto di maiale in crosta
 Pancetta dolce tesa,60,g,Filetto di maiale in crosta
 Senape di Digione,30,g,Filetto di maiale in crosta
 Olio extravergine d'oliva,qb,na,Filetto di maiale in crosta
 Sale fino,qb,na,Filetto di maiale in crosta
 Pepe nero,qb,na,Filetto di maiale in crosta
 Rosmarino,2,rametti,Filetto di maiale in crosta
 Aglio,1,spicchio,Filetto di maiale in crosta
 Uova,1,pezzi,Filetto di maiale in crosta
 Calamari,800,g,Frittura di calamari
 Farina 00,200,g,Frittura di calamari
 Sale fino,qb,na,Frittura di calamari
 Olio di semi di arachide,1,l,Frittura di calamari
 Uova (circa 2 medie),110,g,Torta di mele senza burro
 Farina 00,120,g,Torta di mele senza burro
 Latte intero,100,g,Torta di mele senza burro
 Mele Golden,650,g,Torta di mele senza burro
 Zucchero,50,g,Torta di mele senza burro
 Olio di semi di girasole,30,g,Torta di mele senza burro
 Lievito in polvere per dolci,16,g,Torta di mele senza burro
 Scorza di limone,1,pezzi,Torta di mele senza burro
 Olio di semi di girasole,qb,na,Torta di mele senza burro
 Farina 00,qb,na,Torta di mele senza burro
 Zucchero,1,cucchiaio,Torta di mele senza burro
 Carote,80,g,Minestrone di verdure
 Cipolle rosse,80,g,Minestrone di verdure
 Zucchine bianche,150,g,Minestrone di verdure
 Patate,330,g,Minestrone di verdure
 Sale fino,qb,na,Minestrone di verdure
 Pepe nero,qb,na,Minestrone di verdure
 Sedano,60,g,Minestrone di verdure
 Pomodori ramati,350,g,Minestrone di verdure
 Fagioli borlotti,200,g,Minestrone di verdure
 Zucca pulita,250,g,Minestrone di verdure
 Olio extravergine d'oliva,50,g,Minestrone di verdure
 Porri,150,g,Minestrone di verdure
 Cavolfiore pulito,300,g,Minestrone di verdure
 Pisellini,200,g,Minestrone di verdure
 Rosmarino,1,rametto,Minestrone di verdure
 Alloro,2,foglie,Minestrone di verdure
 Acqua,qb,na,Minestrone di verdure
 Olio extravergine d'oliva,qb,na,Minestrone di verdure
 Farro perlato,240,g,Insalata di farro con verdure
 Fagiolini,100,g,Insalata di farro con verdure
 Broccoli,350,g,Insalata di farro con verdure
 Pomodorini ciliegino,350,g,Insalata di farro con verdure
 Provola,300,g,Insalata di farro con verdure
 Noci,200,g,Insalata di farro con verdure
 Olio di oliva,qb,na,Insalata di farro con verdure
 Scorza di limone (non trattata),1,pezzi,Insalata di farro con verdure
 Sale grosso,qb,na,Insalata di farro con verdure
 Basilico,5,foglie,Insalata di farro con verdure
 Riso Carnaroli,350,g,Risotto al salmone
 Tranci di salmone,250,g,Risotto al salmone
 Porri,1,pezzi,Risotto al salmone
 Olio extravergine d'oliva,qb,na,Risotto al salmone
 Aglio,1,spicchio,Risotto al salmone
 Grana Padano DOP da grattugiare,20,g,Risotto al salmone
 Sale fino,qb,na,Risotto al salmone
 Pepe nero,qb,na,Risotto al salmone
 Brodo di pesce,500,ml,Risotto al salmone
 Burro,80,g,Risotto al salmone
 Maggiorana,1,ciuffo,Risotto al salmone
 Aneto,1,rametto,Risotto al salmone
 Timo,1,rametto,Risotto al salmone
 Scorza di limone,05,Metti dell'ingrediente,Risotto al salmone
 Sale fino,qb,na,Risotto al salmone
 Gamberi (da pulire),650,g,Insalata di gamberi
 Olio extravergine d'oliva,2,cucchiai,Insalata di gamberi
 Paprika dolce,05,Metti dell'ingrediente,Insalata di gamberi
 Sale fino,05,Metti dell'ingrediente,Insalata di gamberi
 Pepe nero,05,Metti dell'ingrediente,Insalata di gamberi
 Songino,50,g,Insalata di gamberi
 Rucola,25,g,Insalata di gamberi
 Mango,120,g,Insalata di gamberi
 Cipollotti rossi,30,g,Insalata di gamberi
 Avocado,1,pezzi,Insalata di gamberi
 Olio extravergine d'oliva,1,cucchiaino,Insalata di gamberi
 Sale fino,05,Metti dell'ingrediente,Insalata di gamberi
 Pepe nero,qb,na,Insalata di gamberi
 Yogurt greco,50,g,Insalata di gamberi
 Lime,1,pezzi,Insalata di gamberi
 Fusilli,320,g,Fusilli panna prosciutto e piselli
 Prosciutto cotto,200,g,Fusilli panna prosciutto e piselli
 Pisellini,250,g,Fusilli panna prosciutto e piselli
 Cipolle dorate,60,g,Fusilli panna prosciutto e piselli
 Panna fresca liquida,250,g,Fusilli panna prosciutto e piselli
 Olio extravergine d'oliva,30,g,Fusilli panna prosciutto e piselli
 Sale fino,qb,na,Fusilli panna prosciutto e piselli
 Pepe nero,qb,na,Fusilli panna prosciutto e piselli
 Albumi (circa 2),84,g,Fluffy pancake
 Tuorli (circa 2),34,g,Fluffy pancake
 Farina 00,35,g,Fluffy pancake
 Lievito in polvere per dolci,2,g,Fluffy pancake
 Latte intero,25,g,Fluffy pancake
 Zucchero,25,g,Fluffy pancake
 Estratto di vaniglia,05,Metti dell'ingrediente,Fluffy pancake
 Burro,qb,na,Fluffy pancake
 Zenzero in polvere,5,g,Biscotti di Pan di zenzero (gingerbread)
 Farina 00,350,g,Biscotti di Pan di zenzero (gingerbread)
 Chiodi di garofano macinati,1,pizzico,Biscotti di Pan di zenzero (gingerbread)
 Noce moscata,1,pizzico,Biscotti di Pan di zenzero (gingerbread)
 Cannella in polvere,5,g,Biscotti di Pan di zenzero (gingerbread)
 Bicarbonato ,025,1/4i dell'ingrediente,Biscotti di Pan di zenzero (gingerbread)
 Zucchero,160,g,Biscotti di Pan di zenzero (gingerbread)
 Burro freddo di frigo,110,g,Biscotti di Pan di zenzero (gingerbread)
 Uova,1,pezzi,Biscotti di Pan di zenzero (gingerbread)
 Sale fino,1,pizzico,Biscotti di Pan di zenzero (gingerbread)
 Miele,50,g,Biscotti di Pan di zenzero (gingerbread)
 Zucchero a velo,150,g,Biscotti di Pan di zenzero (gingerbread)
 Albumi,1,pezzi,Biscotti di Pan di zenzero (gingerbread)
 Anelli Siciliani,350,g,Anelletti al forno
 Manzo (macinato),200,g,Anelletti al forno
 Maiale (macinato),200,g,Anelletti al forno
 Concentrato di pomodoro,150,g,Anelletti al forno
 Piselli surgelati,200,g,Anelletti al forno
 Primosale,100,g,Anelletti al forno
 Vino rosso,125,g,Anelletti al forno
 Caciocavallo da grattugiare,80,g,Anelletti al forno
 Pangrattato,40,g,Anelletti al forno
 Olio extravergine d'oliva,40,g,Anelletti al forno
 Sale fino,qb,na,Anelletti al forno
 Pepe nero,qb,na,Anelletti al forno
 Cipolle rosse di Tropea,80,g,Anelletti al forno
 Olio extravergine d'oliva,qb,na,Anelletti al forno
 Pangrattato,qb,na,Anelletti al forno
 Limoni di Sorrento,1,kg,Marmellata di limoni
 Zucchero,700,g,Marmellata di limoni
 Acqua,qb,na,Marmellata di limoni
 Latte intero tiepido (circa 40°),500,g,Torta magica al cacao
 Uova (circa 4 medie) a temperatura ambiente,220,g,Torta magica al cacao
 Zucchero,150,g,Torta magica al cacao
 intiepidito,125,g,Torta magica al cacao
 Farina 00,65,g,Torta magica al cacao
 Cacao amaro in polvere,50,g,Torta magica al cacao
 Acqua fredda,10,g,Torta magica al cacao
 Estratto di vaniglia,10,g,Torta magica al cacao
 Succo di limone,5,g,Torta magica al cacao
 Sale fino,1,pizzico,Torta magica al cacao
 Zucchero a velo,qb,na,Torta magica al cacao
 Burro,qb,na,Torta magica al cacao
 Biscotti secchi,180,g,Cheesecake fredda senza gelatina
 Burro,100,g,Cheesecake fredda senza gelatina
 Ricotta,500,g,Cheesecake fredda senza gelatina
 Formaggio fresco spalmabile,250,g,Cheesecake fredda senza gelatina
 Biscotti secchi,120,g,Cheesecake fredda senza gelatina
 Gocce di cioccolato fondente,100,g,Cheesecake fredda senza gelatina
 Zucchero a velo,60,g,Cheesecake fredda senza gelatina
 Estratto di vaniglia,5,g,Cheesecake fredda senza gelatina
 Cioccolato fondente sfoglie,100,g,Cheesecake fredda senza gelatina
 Formaggio fresco spalmabile,150,g,Cheesecake fredda senza gelatina
 Zucchero a velo,20,g,Cheesecake fredda senza gelatina
 Lenticchie,250,g,Zuppa di lenticchie
 Sedano,2,coste,Zuppa di lenticchie
 Carote,2,pezzi,Zuppa di lenticchie
 Cipolle bianche,1,pezzi,Zuppa di lenticchie
 Patate piccole,2,pezzi,Zuppa di lenticchie
 Aglio,2,spicchi,Zuppa di lenticchie
 Zucchine,2,pezzi,Zuppa di lenticchie
 Alloro,2,foglie,Zuppa di lenticchie
 Cumino,05,Metti dell'ingrediente,Zuppa di lenticchie
 Chiodi di garofano,2,pezzi,Zuppa di lenticchie
 Olio extravergine d'oliva,2,cucchiai,Zuppa di lenticchie
 Sale fino,qb,na,Zuppa di lenticchie
 Tuorli a temperatura ambiente,125,g,Savoiardi
 Zucchero,185,g,Savoiardi
 Albumi a temperatura ambiente,190,g,Savoiardi
 Farina 00 (con W minore di 200),150,g,Savoiardi
 Fecola di patate,65,g,Savoiardi
 Zucchero a velo,50,g,Savoiardi
 Amido di mais (maizena),5,g,Savoiardi
 Succo di limone,500,ml,Granita al limone senza gelatiera
 Acqua,500,ml,Granita al limone senza gelatiera
 Zucchero,250,g,Granita al limone senza gelatiera
 Zucchero,200,g,Dolce presto fatto
 Farina 00,260,g,Dolce presto fatto
 Burro,100,g,Dolce presto fatto
 Uova (circa,4,medie,Dolce presto fatto
 a temperatura ambiente),220,g,Dolce presto fatto
 Latte intero a temperatura ambiente,60,g,Dolce presto fatto
 Scorza di limone non trattato,1,pezzi,Dolce presto fatto
 Baccello di vaniglia,1,pezzi,Dolce presto fatto
 Lievito in polvere per dolci,16,g,Dolce presto fatto
 Spaghetti,320,g,Spaghetti con le polpettine
 Passata di pomodoro,700,g,Spaghetti con le polpettine
 Scalogno,20,g,Spaghetti con le polpettine
 Aglio,1,spicchio,Spaghetti con le polpettine
 Olio extravergine d'oliva,30,g,Spaghetti con le polpettine
 Sale fino,qb,na,Spaghetti con le polpettine
 Carne di suino trita,100,g,Spaghetti con le polpettine
 Luganega,100,g,Spaghetti con le polpettine
 Mortadella in una sola fetta,80,g,Spaghetti con le polpettine
 Pane integrale solo la mollica rafferma,50,g,Spaghetti con le polpettine
 Parmigiano Reggiano DOP,50,g,Spaghetti con le polpettine
 Prezzemolo tritato,5,g,Spaghetti con le polpettine
 Uova (circa 1 medio),60,g,Spaghetti con le polpettine
 Noce moscata,qb,na,Spaghetti con le polpettine
 Pepe nero,qb,na,Spaghetti con le polpettine
 Sale fino,qb,na,Spaghetti con le polpettine
 Uova intere,2,pezzi,Muffin ai mirtilli
 Tuorli,1,pezzi,Muffin ai mirtilli
 Burro,180,g,Muffin ai mirtilli
 Zucchero,200,g,Muffin ai mirtilli
 Farina 00,380,g,Muffin ai mirtilli
 Lievito in polvere per dolci,1,bustina,Muffin ai mirtilli
 Bicarbonato ,05,Metti dell'ingrediente,Muffin ai mirtilli
 Sale fino,1,pizzico,Muffin ai mirtilli
 Baccello di vaniglia,1,pezzi,Muffin ai mirtilli
 Latte intero,250,ml,Muffin ai mirtilli
 Scorza di limone,1,pezzi,Muffin ai mirtilli
 Mirtilli,250,g,Muffin ai mirtilli
 Farina 00,250,g,Biscotti al cioccolato
 Cioccolato fondente,200,g,Biscotti al cioccolato
 Zucchero,100,g,Biscotti al cioccolato
 Burro freddo,120,g,Biscotti al cioccolato
 Tuorli (circa 2),40,g,Biscotti al cioccolato
 Lievito in polvere per dolci,2,g,Biscotti al cioccolato
 Sale fino,1,pizzico,Biscotti al cioccolato
 Albumi a temperatura ambiente,150,g,Brutti ma buoni
 Zucchero,200,g,Brutti ma buoni
 Granella di nocciole,300,g,Brutti ma buoni
 Baccello di vaniglia,1,pezzi,Brutti ma buoni
 Uova a temperatura ambiente,3,pezzi,Ciambella
 Burro a temperatura ambiente,180,g,Ciambella
 Farina 00,300,g,Ciambella
 Zucchero,180,g,Ciambella
 Latte intero a temperatura ambiente,150,g,Ciambella
 Sale,1,pizzico,Ciambella
 Lievito in polvere per dolci,10,g,Ciambella
 Scorza di limone,2,pezzi,Ciambella
 Baccello di vaniglia,1,pezzi,Ciambella
 Acqua tiepida,200,g,Orecchiette
 Semola di grano duro rimacinata,400,g,Orecchiette
 Sale fino,qb,na,Orecchiette
 Zucchero,180,g,Ciambella senza uova
 Farina 00,200,g,Ciambella senza uova
 Fecola di patate,80,g,Ciambella senza uova
 Latte intero a temperatura ambiente,250,g,Ciambella senza uova
 Olio di semi,120,g,Ciambella senza uova
 Scorza di limone,1,pezzi,Ciambella senza uova
 Lievito in polvere per dolci,16,g,Ciambella senza uova
 Olio di semi,qb,na,Ciambella senza uova
 Farina 00,qb,na,Ciambella senza uova
 Riso Carnaroli,350,g,Risotto all'arancia
 Cipolle,1,pezzi,Risotto all'arancia
 Burro,50,g,Risotto all'arancia
 Arance biologica,1,pezzi,Risotto all'arancia
 Grana Padano DOP da grattugiare,30,g,Risotto all'arancia
 Vino bianco,qb,na,Risotto all'arancia
 Erba cipollina tritata,3,cucchiai,Risotto all'arancia
 Sale fino,qb,na,Risotto all'arancia
 Pepe bianco,qb,na,Risotto all'arancia
 Brodo vegetale,1,l,Risotto all'arancia
 Farina 00,135,g,Torta al latte caldo al cacao
 Cacao amaro in polvere,35,g,Torta al latte caldo al cacao
 Zucchero,160,g,Torta al latte caldo al cacao
 Burro,60,g,Torta al latte caldo al cacao
 Latte intero,120,g,Torta al latte caldo al cacao
 Uova ( circa 3 uova media a temperatura ambiente),175,g,Torta al latte caldo al cacao
 Lievito in polvere per dolci,6,g,Torta al latte caldo al cacao
 Sale fino,1,pizzico,Torta al latte caldo al cacao
 Riso Carnaroli,320,g,Risotto radicchio e pancetta
 Radicchio (di Chioggia),400,g,Risotto radicchio e pancetta
 Pancetta affumicata,150,g,Risotto radicchio e pancetta
 Brodo vegetale,1,l,Risotto radicchio e pancetta
 Vino rosso,100,g,Risotto radicchio e pancetta
 Olio extravergine d'oliva,30,g,Risotto radicchio e pancetta
 Scalogno,50,g,Risotto radicchio e pancetta
 Sale fino,qb,na,Risotto radicchio e pancetta
 Pepe nero,qb,na,Risotto radicchio e pancetta
 Timo,3,rametti,Risotto radicchio e pancetta
 Farina 00,300,g,Tagliatelle
 Uova a temperatura ambiente,3,pezzi,Tagliatelle
 Semola per spolverizzare,qb,na,Tagliatelle
 Spaghettoni,400,g,Pasta con le sarde
 Sarde (da pulire),300,g,Pasta con le sarde
 Cipollotto fresco,100,g,Pasta con le sarde
 Aglio rosso,qb,na,Pasta con le sarde
 Uva passa (nera di Sicilia),25,g,Pasta con le sarde
 Pinoli,20,g,Pasta con le sarde
 Acciughe sott'olio ( in olio extravergine di oliva),6,filetti,Pasta con le sarde
 Peperoncino secco,qb,na,Pasta con le sarde
 Olio extravergine d'oliva,qb,na,Pasta con le sarde
 Sale fino,qb,na,Pasta con le sarde
 Finocchietto selvatico,150,g,Pasta con le sarde
 Acqua,3,l,Pasta con le sarde
 Acqua,200,g,Pasta con le sarde
 Pangrattato (di grano duro),150,g,Pasta con le sarde
 Passata di pomodoro,30,g,Pasta con le sarde
 Olio extravergine d'oliva,40,g,Pasta con le sarde
 Aglio (da tritare),qb,na,Pasta con le sarde
 Origano (secco),qb,na,Pasta con le sarde
 Prezzemolo,qb,na,Pasta con le sarde
 Peperoncino secco,qb,na,Pasta con le sarde
 Burro (freddo di frigo),100,g,Crostata salata con ricotta e zucchine
 Farina 00,200,g,Crostata salata con ricotta e zucchine
 Acqua (fredda),70,g,Crostata salata con ricotta e zucchine
 Sale,1,pizzico,Crostata salata con ricotta e zucchine
 Ricotta vaccina,500,g,Crostata salata con ricotta e zucchine
 Zucchine,300,g,Crostata salata con ricotta e zucchine
 Prosciutto cotto (una fetta spessa),125,g,Crostata salata con ricotta e zucchine
 Mozzarella,100,g,Crostata salata con ricotta e zucchine
 Uova,55,g,Crostata salata con ricotta e zucchine
 Olio extravergine d'oliva,15,g,Crostata salata con ricotta e zucchine
 Sale fino,qb,na,Crostata salata con ricotta e zucchine
 Pepe nero,qb,na,Crostata salata con ricotta e zucchine
 Burro,15,g,Crostata salata con ricotta e zucchine
 Farina 00,15,g,Crostata salata con ricotta e zucchine
 Farina 00,320,g,Crostata con ricotta e marmellata
 Burro morbido,185,g,Crostata con ricotta e marmellata
 Zucchero di canna integrale,120,g,Crostata con ricotta e marmellata
 Uova (circa 2),95,g,Crostata con ricotta e marmellata
 Scorza di limone,05,Metti dell'ingrediente,Crostata con ricotta e marmellata
 Sale fino,1,pizzico,Crostata con ricotta e marmellata
 Ricotta vaccina,300,g,Crostata con ricotta e marmellata
 Confettura di lamponi,250,g,Crostata con ricotta e marmellata
 Miele millefiori,30,g,Crostata con ricotta e marmellata
 Scorza di limone,05,Metti dell'ingrediente,Crostata con ricotta e marmellata
 Farina 00,210,g,Biscotti senza burro
 Olio di semi di arachide,60,g,Biscotti senza burro
 Olio extravergine d'oliva,30,g,Biscotti senza burro
 Zucchero,170,g,Biscotti senza burro
 Uova,1,pezzi,Biscotti senza burro
 caffe forte,30,g,Biscotti senza burro
 Sale fino,1,pizzico,Biscotti senza burro
 Bicarbonato,3,g,Biscotti senza burro
 Cioccolato fondente,150,g,Biscotti senza burro
 Legumi misti + cereali,500,g,Zuppa di legumi e cereali
 Carote,2,pezzi,Zuppa di legumi e cereali
 Sedano,2,coste,Zuppa di legumi e cereali
 Cipolle,1,pezzi,Zuppa di legumi e cereali
 Patate medie,2,pezzi,Zuppa di legumi e cereali
 Pomodori ramati,200,g,Zuppa di legumi e cereali
 Grana Padano DOP croste,2,pezzi,Zuppa di legumi e cereali
 Aglio,1,spicchio,Zuppa di legumi e cereali
 Brodo vegetale,1,l,Zuppa di legumi e cereali
 Olio extravergine d'oliva,3,cucchiai,Zuppa di legumi e cereali
 Rosmarino,1,rametto,Zuppa di legumi e cereali
 Timo,1,rametto,Zuppa di legumi e cereali
 Alloro,1,foglia,Zuppa di legumi e cereali
 Salvia,1,rametto,Zuppa di legumi e cereali
 Farina 00,300,g,Culurgionis d'Ogliastra
 Acqua,290,g,Culurgionis d'Ogliastra
 Semola di grano duro rimacinata,200,g,Culurgionis d'Ogliastra
 Olio extravergine d'oliva circa,15,g,Culurgionis d'Ogliastra
 Sale fino,qb,na,Culurgionis d'Ogliastra
 Patate a pasta gialla,1,kg,Culurgionis d'Ogliastra
 Pecorino sardo,100,g,Culurgionis d'Ogliastra
 Olio extravergine d'oliva,80,g,Culurgionis d'Ogliastra
 Aglio,1,spicchio,Culurgionis d'Ogliastra
 Menta,14,foglie,Culurgionis d'Ogliastra
 Sale fino,qb,na,Culurgionis d'Ogliastra
 Pepe nero,qb,na,Culurgionis d'Ogliastra
 Passata di pomodoro,500,g,Culurgionis d'Ogliastra
 Basilico,3,foglie,Culurgionis d'Ogliastra
 Aglio,1,spicchio,Culurgionis d'Ogliastra
 Sale fino,qb,na,Culurgionis d'Ogliastra
 Cioccolato al latte,550,g,Barrette al riso soffiato e cioccolato
