Ingrediente,Quantita,Unita_di_misura,Nome_Piatto,,,,
 Uova (circa 4 medie) a temperatura ambiente,220.0,g,Torta magica al cacao,,,,
 Zucchero,150.0,g,Torta magica al cacao,,,,
 intiepidito,125.0,g,Torta magica al cacao,,,,
 Farina 00,65.0,g,Torta magica al cacao,,,,
 Cacao amaro in polvere,50.0,g,Torta magica al cacao,,,,
 Acqua fredda,10.0,g,Torta magica al cacao,,,,
 Estratto di vaniglia,10.0,g,Torta magica al cacao,,,,
 Succo di limone,5.0,g,Torta magica al cacao,,,,
 Sale fino,1.0,pizzico,Torta magica al cacao,,,,
 Zucchero a velo,-1.0,n.a.,Torta magica al cacao,,,,
 Burro,-1.0,n.a.,Torta magica al cacao,,,,
 Biscotti secchi,180.0,g,Cheesecake fredda senza gelatina,,,,
 Burro,100.0,g,Cheesecake fredda senza gelatina,,,,
 Ricotta,500.0,g,Cheesecake fredda senza gelatina,,,,
 Formaggio fresco spalmabile,250.0,g,Cheesecake fredda senza gelatina,,,,
 Biscotti secchi,120.0,g,Cheesecake fredda senza gelatina,,,,
 Gocce di cioccolato fondente,100.0,g,Cheesecake fredda senza gelatina,,,,
 Zucchero a velo,60.0,g,Cheesecake fredda senza gelatina,,,,
 Estratto di vaniglia,5.0,g,Cheesecake fredda senza gelatina,,,,
 Cioccolato fondente sfoglie,100.0,g,Cheesecake fredda senza gelatina,,,,
 Formaggio fresco spalmabile,150.0,g,Cheesecake fredda senza gelatina,,,,
 Zucchero a velo,20.0,g,Cheesecake fredda senza gelatina,,,,
 Lenticchie,250.0,g,Zuppa di lenticchie,,,,
 Sedano,2.0,coste,Zuppa di lenticchie,,,,
 Carote,2.0,pezzi,Zuppa di lenticchie,,,,
 Cipolle bianche,1.0,pezzi,Zuppa di lenticchie,,,,
 Patate piccole,2.0,pezzi,Zuppa di lenticchie,,,,
 Aglio,2.0,spicchi,Zuppa di lenticchie,,,,
 Zucchine,2.0,pezzi,Zuppa di lenticchie,,,,
 Alloro,2.0,foglie,Zuppa di lenticchie,,,,
 Cumino,0.5,Met� dell'ingrediente,Zuppa di lenticchie,,,,
 Chiodi di garofano,2.0,pezzi,Zuppa di lenticchie,,,,
 Olio extravergine d'oliva,2.0,cucchiai,Zuppa di lenticchie,,,,
 Sale fino,-1.0,n.a.,Zuppa di lenticchie,,,,
 Tuorli a temperatura ambiente,125.0,g,Savoiardi,,,,
 Zucchero,185.0,g,Savoiardi,,,,
 Albumi a temperatura ambiente,190.0,g,Savoiardi,,,,
 Farina 00 (con W minore di 200),150.0,g,Savoiardi,,,,
 Fecola di patate,65.0,g,Savoiardi,,,,
 Zucchero a velo,50.0,g,Savoiardi,,,,
 Amido di mais (maizena),5.0,g,Savoiardi,,,,
 Succo di limone,500.0,ml,Granita al limone senza gelatiera,,,,
 Acqua,500.0,ml,Granita al limone senza gelatiera,,,,
 Zucchero,250.0,g,Granita al limone senza gelatiera,,,,
 Zucchero,200.0,g,Dolce presto fatto,,,,
 Farina 00,260.0,g,Dolce presto fatto,,,,
 Burro,100.0,g,Dolce presto fatto,,,,
 Uova (circa,4.0,medie,Dolce presto fatto,,,,
 a temperatura ambiente),220.0,g,Dolce presto fatto,,,,
 Latte intero a temperatura ambiente,60.0,g,Dolce presto fatto,,,,
 Scorza di limone non trattato,1.0,pezzi,Dolce presto fatto,,,,
 Baccello di vaniglia,1.0,pezzi,Dolce presto fatto,,,,
 Lievito in polvere per dolci,16.0,g,Dolce presto fatto,,,,
 Spaghetti,320.0,g,Spaghetti con le polpettine,,,,
 Passata di pomodoro,700.0,g,Spaghetti con le polpettine,,,,
 Scalogno,20.0,g,Spaghetti con le polpettine,,,,
 Aglio,1.0,spicchio,Spaghetti con le polpettine,,,,
 Olio extravergine d'oliva,30.0,g,Spaghetti con le polpettine,,,,
 Sale fino,-1.0,n.a.,Spaghetti con le polpettine,,,,
 Carne di suino trita,100.0,g,Spaghetti con le polpettine,,,,
 Luganega,100.0,g,Spaghetti con le polpettine,,,,
 Mortadella in una sola fetta,80.0,g,Spaghetti con le polpettine,,,,
 Pane integrale solo la mollica rafferma,50.0,g,Spaghetti con le polpettine,,,,
 Parmigiano Reggiano DOP,50.0,g,Spaghetti con le polpettine,,,,
 Prezzemolo tritato,5.0,g,Spaghetti con le polpettine,,,,
 Uova (circa 1 medio),60.0,g,Spaghetti con le polpettine,,,,
 Noce moscata,-1.0,n.a.,Spaghetti con le polpettine,,,,
 Pepe nero,-1.0,n.a.,Spaghetti con le polpettine,,,,
 Sale fino,-1.0,n.a.,Spaghetti con le polpettine,,,,
 Uova intere,2.0,pezzi,Muffin ai mirtilli,,,,
 Tuorli,1.0,pezzi,Muffin ai mirtilli,,,,
 Burro,180.0,g,Muffin ai mirtilli,,,,
 Zucchero,200.0,g,Muffin ai mirtilli,,,,
 Farina 00,380.0,g,Muffin ai mirtilli,,,,
 Lievito in polvere per dolci,1.0,bustina,Muffin ai mirtilli,,,,
 Bicarbonato ,0.5,Met� dell'ingrediente,Muffin ai mirtilli,,,,
 Sale fino,1.0,pizzico,Muffin ai mirtilli,,,,
 Baccello di vaniglia,1.0,pezzi,Muffin ai mirtilli,,,,
 Latte intero,250.0,ml,Muffin ai mirtilli,,,,
 Scorza di limone,1.0,pezzi,Muffin ai mirtilli,,,,
 Mirtilli,250.0,g,Muffin ai mirtilli,,,,
 Farina 00,250.0,g,Biscotti al cioccolato,,,,
 Cioccolato fondente,200.0,g,Biscotti al cioccolato,,,,
 Zucchero,100.0,g,Biscotti al cioccolato,,,,
 Burro freddo,120.0,g,Biscotti al cioccolato,,,,
 Tuorli (circa 2),40.0,g,Biscotti al cioccolato,,,,
 Lievito in polvere per dolci,2.0,g,Biscotti al cioccolato,,,,
 Sale fino,1.0,pizzico,Biscotti al cioccolato,,,,
 Albumi a temperatura ambiente,150.0,g,Brutti ma buoni,,,,
 Zucchero,200.0,g,Brutti ma buoni,,,,
 Granella di nocciole,300.0,g,Brutti ma buoni,,,,
 Baccello di vaniglia,1.0,pezzi,Brutti ma buoni,,,,
 Uova a temperatura ambiente,3.0,pezzi,Ciambella,,,,
 Burro a temperatura ambiente,180.0,g,Ciambella,,,,
 Farina 00,300.0,g,Ciambella,,,,
 Zucchero,180.0,g,Ciambella,,,,
 Latte intero a temperatura ambiente,150.0,g,Ciambella,,,,
 Sale,1.0,pizzico,Ciambella,,,,
 Lievito in polvere per dolci,10.0,g,Ciambella,,,,
 Scorza di limone,2.0,pezzi,Ciambella,,,,
 Baccello di vaniglia,1.0,pezzi,Ciambella,,,,
 Acqua tiepida,200.0,g,Orecchiette,,,,
 Semola di grano duro rimacinata,400.0,g,Orecchiette,,,,
 Sale fino,-1.0,n.a.,Orecchiette,,,,
 Zucchero,180.0,g,Ciambella senza uova,,,,
 Farina 00,200.0,g,Ciambella senza uova,,,,
 Fecola di patate,80.0,g,Ciambella senza uova,,,,
 Latte intero a temperatura ambiente,250.0,g,Ciambella senza uova,,,,
 Olio di semi,120.0,g,Ciambella senza uova,,,,
 Scorza di limone,1.0,pezzi,Ciambella senza uova,,,,
 Lievito in polvere per dolci,16.0,g,Ciambella senza uova,,,,
 Olio di semi,-1.0,n.a.,Ciambella senza uova,,,,
 Farina 00,-1.0,n.a.,Ciambella senza uova,,,,
 Riso Carnaroli,350.0,g,Risotto all'arancia,,,,
 Cipolle,1.0,pezzi,Risotto all'arancia,,,,
 Burro,50.0,g,Risotto all'arancia,,,,
 Arance biologica,1.0,pezzi,Risotto all'arancia,,,,
 Grana Padano DOP da grattugiare,30.0,g,Risotto all'arancia,,,,
 Vino bianco,-1.0,n.a.,Risotto all'arancia,,,,
 Erba cipollina tritata,3.0,cucchiai,Risotto all'arancia,,,,
 Sale fino,-1.0,n.a.,Risotto all'arancia,,,,
 Pepe bianco,-1.0,n.a.,Risotto all'arancia,,,,
 Brodo vegetale,1.0,l,Risotto all'arancia,,,,
 Farina 00,135.0,g,Torta al latte caldo al cacao,,,,
 Cacao amaro in polvere,35.0,g,Torta al latte caldo al cacao,,,,
 Zucchero,160.0,g,Torta al latte caldo al cacao,,,,
 Burro,60.0,g,Torta al latte caldo al cacao,,,,
 Latte intero,120.0,g,Torta al latte caldo al cacao,,,,
 Uova ( circa 3 uova media a temperatura ambiente),175.0,g,Torta al latte caldo al cacao,,,,
 Lievito in polvere per dolci,6.0,g,Torta al latte caldo al cacao,,,,
 Sale fino,1.0,pizzico,Torta al latte caldo al cacao,,,,
 Riso Carnaroli,320.0,g,Risotto radicchio e pancetta,,,,
 Radicchio (di Chioggia),400.0,g,Risotto radicchio e pancetta,,,,
 Pancetta affumicata,150.0,g,Risotto radicchio e pancetta,,,,
 Brodo vegetale,1.0,l,Risotto radicchio e pancetta,,,,
 Vino rosso,100.0,g,Risotto radicchio e pancetta,,,,
 Olio extravergine d'oliva,30.0,g,Risotto radicchio e pancetta,,,,
 Scalogno,50.0,g,Risotto radicchio e pancetta,,,,
 Sale fino,-1.0,n.a.,Risotto radicchio e pancetta,,,,
 Pepe nero,-1.0,n.a.,Risotto radicchio e pancetta,,,,
 Timo,3.0,rametti,Risotto radicchio e pancetta,,,,
 Farina 00,300.0,g,Tagliatelle,,,,
 Uova a temperatura ambiente,3.0,pezzi,Tagliatelle,,,,
 Semola per spolverizzare,-1.0,n.a.,Tagliatelle,,,,
 Spaghettoni,400.0,g,Pasta con le sarde,,,,
 Sarde (da pulire),300.0,g,Pasta con le sarde,,,,
 Cipollotto fresco,100.0,g,Pasta con le sarde,,,,
 Aglio rosso,-1.0,n.a.,Pasta con le sarde,,,,
 Uva passa (nera di Sicilia),25.0,g,Pasta con le sarde,,,,
 Pinoli,20.0,g,Pasta con le sarde,,,,
 Acciughe sott'olio ( in olio extravergine di oliva),6.0,filetti,Pasta con le sarde,,,,
 Peperoncino secco,-1.0,n.a.,Pasta con le sarde,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Pasta con le sarde,,,,
 Sale fino,-1.0,n.a.,Pasta con le sarde,,,,
 Finocchietto selvatico,150.0,g,Pasta con le sarde,,,,
 Acqua,3.0,l,Pasta con le sarde,,,,
 Acqua,200.0,g,Pasta con le sarde,,,,
 Pangrattato (di grano duro),150.0,g,Pasta con le sarde,,,,
 Passata di pomodoro,30.0,g,Pasta con le sarde,,,,
 Olio extravergine d'oliva,40.0,g,Pasta con le sarde,,,,
 Aglio (da tritare),-1.0,n.a.,Pasta con le sarde,,,,
 Origano (secco),-1.0,n.a.,Pasta con le sarde,,,,
 Prezzemolo,-1.0,n.a.,Pasta con le sarde,,,,
 Peperoncino secco,-1.0,n.a.,Pasta con le sarde,,,,
 Burro (freddo di frigo),100.0,g,Crostata salata con ricotta e zucchine,,,,
 Farina 00,200.0,g,Crostata salata con ricotta e zucchine,,,,
 Acqua (fredda),70.0,g,Crostata salata con ricotta e zucchine,,,,
 Sale,1.0,pizzico,Crostata salata con ricotta e zucchine,,,,
 Ricotta vaccina,500.0,g,Crostata salata con ricotta e zucchine,,,,
 Zucchine,300.0,g,Crostata salata con ricotta e zucchine,,,,
 Prosciutto cotto (una fetta spessa),125.0,g,Crostata salata con ricotta e zucchine,,,,
 Mozzarella,100.0,g,Crostata salata con ricotta e zucchine,,,,
 Uova,55.0,g,Crostata salata con ricotta e zucchine,,,,
 Olio extravergine d'oliva,15.0,g,Crostata salata con ricotta e zucchine,,,,
 Sale fino,-1.0,n.a.,Crostata salata con ricotta e zucchine,,,,
 Pepe nero,-1.0,n.a.,Crostata salata con ricotta e zucchine,,,,
 Burro,15.0,g,Crostata salata con ricotta e zucchine,,,,
 Farina 00,15.0,g,Crostata salata con ricotta e zucchine,,,,
 Farina 00,320.0,g,Crostata con ricotta e marmellata,,,,
 Burro morbido,185.0,g,Crostata con ricotta e marmellata,,,,
 Zucchero di canna integrale,120.0,g,Crostata con ricotta e marmellata,,,,
 Uova (circa 2),95.0,g,Crostata con ricotta e marmellata,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Crostata con ricotta e marmellata,,,,
 Sale fino,1.0,pizzico,Crostata con ricotta e marmellata,,,,
 Ricotta vaccina,300.0,g,Crostata con ricotta e marmellata,,,,
 Confettura di lamponi,250.0,g,Crostata con ricotta e marmellata,,,,
 Miele millefiori,30.0,g,Crostata con ricotta e marmellata,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Crostata con ricotta e marmellata,,,,
 Farina 00,210.0,g,Biscotti senza burro,,,,
 Olio di semi di arachide,60.0,g,Biscotti senza burro,,,,
 Olio extravergine d'oliva,30.0,g,Biscotti senza burro,,,,
 Zucchero,170.0,g,Biscotti senza burro,,,,
 Uova,1.0,pezzi,Biscotti senza burro,,,,
 Caff� forte,30.0,g,Biscotti senza burro,,,,
 Sale fino,1.0,pizzico,Biscotti senza burro,,,,
 Bicarbonato,3.0,g,Biscotti senza burro,,,,
 Cioccolato fondente,150.0,g,Biscotti senza burro,,,,
 Legumi misti + cereali,500.0,g,Zuppa di legumi e cereali,,,,
 Carote,2.0,pezzi,Zuppa di legumi e cereali,,,,
 Sedano,2.0,coste,Zuppa di legumi e cereali,,,,
 Cipolle,1.0,pezzi,Zuppa di legumi e cereali,,,,
 Patate medie,2.0,pezzi,Zuppa di legumi e cereali,,,,
 Pomodori ramati,200.0,g,Zuppa di legumi e cereali,,,,
 Grana Padano DOP croste,2.0,pezzi,Zuppa di legumi e cereali,,,,
 Aglio,1.0,spicchio,Zuppa di legumi e cereali,,,,
 Brodo vegetale,1.0,l,Zuppa di legumi e cereali,,,,
 Olio extravergine d'oliva,3.0,cucchiai,Zuppa di legumi e cereali,,,,
 Rosmarino,1.0,rametto,Zuppa di legumi e cereali,,,,
 Timo,1.0,rametto,Zuppa di legumi e cereali,,,,
 Alloro,1.0,foglia,Zuppa di legumi e cereali,,,,
 Salvia,1.0,rametto,Zuppa di legumi e cereali,,,,
 Farina 00,300.0,g,Culurgionis d'Ogliastra,,,,
 Acqua,290.0,g,Culurgionis d'Ogliastra,,,,
 Semola di grano duro rimacinata,200.0,g,Culurgionis d'Ogliastra,,,,
 Olio extravergine d'oliva circa,15.0,g,Culurgionis d'Ogliastra,,,,
 Sale fino,-1.0,n.a.,Culurgionis d'Ogliastra,,,,
 Patate a pasta gialla,1.0,kg,Culurgionis d'Ogliastra,,,,
 Pecorino sardo,100.0,g,Culurgionis d'Ogliastra,,,,
 Olio extravergine d'oliva,80.0,g,Culurgionis d'Ogliastra,,,,
 Aglio,1.0,spicchio,Culurgionis d'Ogliastra,,,,
 Menta,14.0,foglie,Culurgionis d'Ogliastra,,,,
 Sale fino,-1.0,n.a.,Culurgionis d'Ogliastra,,,,
 Pepe nero,-1.0,n.a.,Culurgionis d'Ogliastra,,,,
 Passata di pomodoro,500.0,g,Culurgionis d'Ogliastra,,,,
 Basilico,3.0,foglie,Culurgionis d'Ogliastra,,,,
 Aglio,1.0,spicchio,Culurgionis d'Ogliastra,,,,
 Sale fino,-1.0,n.a.,Culurgionis d'Ogliastra,,,,
 Cioccolato al latte,550.0,g,Barrette al riso soffiato e cioccolato,,,,
 Riso soffiato,100.0,g,Barrette al riso soffiato e cioccolato,,,,
 Burro,20.0,g,Barrette al riso soffiato e cioccolato,,,,
 Fettuccine all'uovo,250.0,g,Fettuccine al tartufo,,,,
 Tartufo nero,80.0,g,Fettuccine al tartufo,,,,
 Aglio,1.0,spicchio,Fettuccine al tartufo,,,,
 Olio extravergine d'oliva,50.0,g,Fettuccine al tartufo,,,,
 Sale fino,-1.0,n.a.,Fettuccine al tartufo,,,,
 Burro,40.0,g,Fettuccine al tartufo,,,,
 Riso Carnaroli,375.0,g,Riso al forno,,,,
 Passata di pomodoro,1.0,l,Riso al forno,,,,
 Fiordilatte,300.0,g,Riso al forno,,,,
 Parmigiano Reggiano DOP da grattugiare,150.0,g,Riso al forno,,,,
 Cipolle media,1.0,pezzi,Riso al forno,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Riso al forno,,,,
 Sale fino,-1.0,n.a.,Riso al forno,,,,
 Pepe nero,-1.0,n.a.,Riso al forno,,,,
 Basilico,7.0,foglie,Riso al forno,,,,
 Acqua,-1.0,n.a.,Riso al forno,,,,
 Pappardelle all'uovo,250.0,g,Pappardelle con speck e funghi porcini,,,,
 Funghi porcini,500.0,g,Pappardelle con speck e funghi porcini,,,,
 Speck (2 fette spesse),150.0,g,Pappardelle con speck e funghi porcini,,,,
 Panna fresca liquida,50.0,g,Pappardelle con speck e funghi porcini,,,,
 Prezzemolo da tritare,-1.0,n.a.,Pappardelle con speck e funghi porcini,,,,
 Aglio,1.0,spicchio,Pappardelle con speck e funghi porcini,,,,
 Pepe nero,-1.0,n.a.,Pappardelle con speck e funghi porcini,,,,
 Olio extravergine d'oliva,40.0,g,Pappardelle con speck e funghi porcini,,,,
 Sale fino,-1.0,n.a.,Pappardelle con speck e funghi porcini,,,,
 Fecola di patate,75.0,g,Torta di compleanno,,,,
 Farina 00,75.0,g,Torta di compleanno,,,,
 Sale fino,1.0,pizzico,Torta di compleanno,,,,
 Uova medie,5.0,pezzi,Torta di compleanno,,,,
 Zucchero,150.0,g,Torta di compleanno,,,,
 Cacao amaro in polvere,20.0,g,Torta di compleanno,,,,
 Panna fresca liquida,100.0,ml,Torta di compleanno,,,,
 Acqua,250.0,ml,Torta di compleanno,,,,
 Zucchero,125.0,g,Torta di compleanno,,,,
 Alchermes o altro aroma a scelta,-1.0,n.a.,Torta di compleanno,,,,
 Panna fresca liquida,500.0,ml,Torta di compleanno,,,,
 Zucchero a velo,20.0,g,Torta di compleanno,,,,
 Burro,125.0,g,Quiche Lorraine,,,,
 Farina 00,250.0,g,Quiche Lorraine,,,,
 Uova (circa 1 medio),52.0,g,Quiche Lorraine,,,,
 Sale grosso,5.0,g,Quiche Lorraine,,,,
 Panna fresca liquida,450.0,g,Quiche Lorraine,,,,
 Pancetta (tesa) dolce,200.0,g,Quiche Lorraine,,,,
 Groviera (formaggio Gruy�re),150.0,g,Quiche Lorraine,,,,
 Uova (circa 3 medie),165.0,g,Quiche Lorraine,,,,
 Tuorli (circa 1 medio),18.0,g,Quiche Lorraine,,,,
 Sale fino,-1.0,n.a.,Quiche Lorraine,,,,
 Pepe nero,-1.0,n.a.,Quiche Lorraine,,,,
 Noce moscata,-1.0,n.a.,Quiche Lorraine,,,,
 Banane polpa di banane mature,140.0,g,Pancake alla banana,,,,
 Farina 00,250.0,g,Pancake alla banana,,,,
 Latte intero,250.0,g,Pancake alla banana,,,,
 Nocciole,80.0,g,Pancake alla banana,,,,
 Zucchero,30.0,g,Pancake alla banana,,,,
 Uova medio,1.0,pezzi,Pancake alla banana,,,,
 Burro,15.0,g,Pancake alla banana,,,,
 Sale fino,1.0,pizzico,Pancake alla banana,,,,
 Bicarbonato,0.5,Met� dell'ingrediente,Pancake alla banana,,,,
 Sciroppo di acero,-1.0,n.a.,Pancake alla banana,,,,
 Granella di nocciole,-1.0,n.a.,Pancake alla banana,,,,
 Banane (fettine per decorare),-1.0,n.a.,Pancake alla banana,,,,
 Pesche,2.0,pezzi,Frullato di frutta,,,,
 Banane,2.0,pezzi,Frullato di frutta,,,,
 Fragole,200.0,g,Frullato di frutta,,,,
 Kiwi,2.0,pezzi,Frullato di frutta,,,,
 Latte intero,60.0,ml,Frullato di frutta,,,,
 Campari,30.0,ml,Negroni cocktail,,,,
 Gin,30.0,ml,Negroni cocktail,,,,
 Vermouth rosso,30.0,ml,Negroni cocktail,,,,
 Ghiaccio,-1.0,n.a.,Negroni cocktail,,,,
 Farina 00,210.0,g,Cupcake alla Nutella,,,,
 Uova (circa 4),230.0,g,Cupcake alla Nutella,,,,
 Zucchero,165.0,g,Cupcake alla Nutella,,,,
 Nutella,80.0,g,Cupcake alla Nutella,,,,
 Burro,80.0,g,Cupcake alla Nutella,,,,
 Miele millefiori,40.0,g,Cupcake alla Nutella,,,,
 Cacao amaro in polvere,20.0,g,Cupcake alla Nutella,,,,
 Lievito in polvere per dolci,10.0,g,Cupcake alla Nutella,,,,
 Panna fresca liquida,360.0,g,Cupcake alla Nutella,,,,
 Nutella,40.0,g,Cupcake alla Nutella,,,,
 Zucchero a velo,35.0,g,Cupcake alla Nutella,,,,
 Baccello di vaniglia i semi,1.0,pezzi,Cupcake alla Nutella,,,,
 Granella di nocciole,-1.0,n.a.,Cupcake alla Nutella,,,,
 Nutella,-1.0,n.a.,Cupcake alla Nutella,,,,
 Farina 00,500.0,g,Pasticciotti,,,,
 Burro,250.0,g,Pasticciotti,,,,
 Tuorli,4.0,pezzi,Pasticciotti,,,,
 Baccello di vaniglia,1.0,pezzi,Pasticciotti,,,,
 Zucchero a velo,200.0,g,Pasticciotti,,,,
 Farina 00,50.0,g,Pasticciotti,,,,
 Latte,500.0,ml,Pasticciotti,,,,
 Tuorli,6.0,pezzi,Pasticciotti,,,,
 Baccello di vaniglia,1.0,pezzi,Pasticciotti,,,,
 Zucchero,150.0,g,Pasticciotti,,,,
 Amarene sciroppate,-1.0,n.a.,Pasticciotti,,,,
 Tuorli,1.0,pezzi,Pasticciotti,,,,
 Panna fresca liquida,3.0,cucchiai,Pasticciotti,,,,
 Panna fresca liquida,500.0,g,Creme brul�e,,,,
 Latte,125.0,g,Creme brul�e,,,,
 Tuorli,8.0,pezzi,Creme brul�e,,,,
 Zucchero,130.0,g,Creme brul�e,,,,
 Baccello di vaniglia,1.0,pezzi,Creme brul�e,,,,
 Zucchero,-1.0,n.a.,Creme brul�e,,,,
 Biscotti Digestive,255.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Burro,100.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Cioccolato fondente,100.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Ricotta vaccina,750.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Formaggio fresco spalmabile,250.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Cioccolato bianco,250.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Panna fresca liquida,150.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Zucchero a velo,50.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Gelatina,15.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Lamponi,300.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Zucchero a velo,20.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Lamponi,300.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Cioccolato bianco,100.0,g,Cheesecake cioccolato bianco e lamponi,,,,
 Burro morbido ma ancora plastico,200.0,g,Frolla Milano,,,,
 Miele di acacia,40.0,g,Frolla Milano,,,,
 Baccello di vaniglia,1.0,pezzi,Frolla Milano,,,,
 Zucchero a velo,75.0,g,Frolla Milano,,,,
 Tuorli,1.0,pezzi,Frolla Milano,,,,
 Acqua,4.0,g,Frolla Milano,,,,
 Sale fino,2.0,g,Frolla Milano,,,,
 Farina 00 debole,300.0,g,Frolla Milano,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Frolla Milano,,,,
 Farina 00,300.0,g,Biscotti semplici decorati,,,,
 Zucchero a velo,100.0,g,Biscotti semplici decorati,,,,
 Burro freddo,100.0,g,Biscotti semplici decorati,,,,
 Uova (circa 2 medie) fredde,110.0,g,Biscotti semplici decorati,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Biscotti semplici decorati,,,,
 Lievito in polvere per dolci,2.0,g,Biscotti semplici decorati,,,,
 Zucchero a velo,250.0,g,Biscotti semplici decorati,,,,
 Acqua a temperatura ambiente,40.0,g,Biscotti semplici decorati,,,,
 Coloranti alimentari,-1.0,n.a.,Biscotti semplici decorati,,,,
 Penne Rigate,320.0,g,Penne ai peperoni,,,,
 Peperoni rossi,275.0,g,Penne ai peperoni,,,,
 Peperoni gialli,275.0,g,Penne ai peperoni,,,,
 Passata di pomodoro,200.0,g,Penne ai peperoni,,,,
 Basilico,-1.0,n.a.,Penne ai peperoni,,,,
 Zucchero di canna,1.0,pizzico,Penne ai peperoni,,,,
 Cipolle bianche,80.0,g,Penne ai peperoni,,,,
 Sale fino,-1.0,n.a.,Penne ai peperoni,,,,
 Pepe nero,-1.0,n.a.,Penne ai peperoni,,,,
 Olio extravergine d'oliva,-1.0,n.a.,Penne ai peperoni,,,,
 Spaghetti,320.0,g,Spaghetti con tonno e zucchine,,,,
 Zucchine,350.0,g,Spaghetti con tonno e zucchine,,,,
 Tonno sott'olio,320.0,g,Spaghetti con tonno e zucchine,,,,
 Olio extravergine d'oliva,20.0,g,Spaghetti con tonno e zucchine,,,,
 Aglio,1.0,spicchio,Spaghetti con tonno e zucchine,,,,
 Timo,2.0,rametti,Spaghetti con tonno e zucchine,,,,
 Olio di semi di arachide per friggere le zucchine,300.0,g,Spaghetti con tonno e zucchine,,,,
 Sale fino,-1.0,n.a.,Spaghetti con tonno e zucchine,,,,
 Pepe nero,-1.0,n.a.,Spaghetti con tonno e zucchine,,,,
 Cioccolato fondente al 70%,200.0,g,Mousse al cioccolato,,,,
 Panna fresca liquida,550.0,g,Mousse al cioccolato,,,,
 Tuorli (circa 10),160.0,g,Mousse al cioccolato,,,,
 Latte intero,100.0,g,Mousse al cioccolato,,,,
 Miele di acacia,20.0,g,Mousse al cioccolato,,,,
 Zucchero,300.0,g,Confettura di ciliegie,,,,
 Limoni,1.0,pezzi,Confettura di ciliegie,,,,
 Cioccolato fondente,95.0,g,Torta di compleanno estiva,,,,
 Uova medie,4.0,pezzi,Torta di compleanno estiva,,,,
 Burro,60.0,g,Torta di compleanno estiva,,,,
 Zucchero,120.0,g,Torta di compleanno estiva,,,,
 Farina 00,65.0,g,Torta di compleanno estiva,,,,
 Amido di mais (maizena),35.0,g,Torta di compleanno estiva,,,,
 Lievito in polvere per dolci,10.0,g,Torta di compleanno estiva,,,,
 Formaggio fresco spalmabile,400.0,g,Torta di compleanno estiva,,,,
 Panna fresca liquida,200.0,g,Torta di compleanno estiva,,,,
 Zucchero a velo,80.0,g,Torta di compleanno estiva,,,,
 Ciliegie,200.0,g,Torta di compleanno estiva,,,,
 lamponi),180.0,g,Torta di compleanno estiva,,,,
 Ciliegie,100.0,g,Torta di compleanno estiva,,,,
 Menta foglioline,-1.0,n.a.,Torta di compleanno estiva,,,,
 Latte intero,400.0,g,Crema al latte,,,,
 Miele,0.5,Met� dell'ingrediente,Crema al latte,,,,
 Zucchero,80.0,g,Crema al latte,,,,
 Baccello di vaniglia,1.0,pezzi,Crema al latte,,,,
 Amido di mais (maizena),40.0,g,Crema al latte,,,,
 Panna fresca liquida,150.0,g,Crema al latte,,,,
 Farina 00,250.0,g,Plumcake bicolore,,,,
 Uova circa 2 grandi,124.0,g,Plumcake bicolore,,,,
 Cacao amaro in polvere,30.0,g,Plumcake bicolore,,,,
 Zucchero,150.0,g,Plumcake bicolore,,,,
 Olio di semi di girasole,70.0,g,Plumcake bicolore,,,,
 Latte intero,120.0,g,Plumcake bicolore,,,,
 Lievito in polvere per dolci,16.0,g,Plumcake bicolore,,,,
 Scorza d'arancia,1.0,Tutto l'ingrediente,Plumcake bicolore,,,,
 Uova (3 circa),170.0,g,Passatelli in brodo,,,,
 Pangrattato,120.0,g,Passatelli in brodo,,,,
 Parmigiano Reggiano DOP da grattugiare,120.0,g,Passatelli in brodo,,,,
 Scorza di limone,0.5,Met� dell'ingrediente,Passatelli in brodo,,,,
 Noce moscata,-1.0,n.a.,Passatelli in brodo,,,,
 Sale fino,-1.0,n.a.,Passatelli in brodo,,,,
 Brodo di carne,1.0,l,Passatelli in brodo,,,,
 Pasta Sfoglia rettangolare,230.0,g,Diplomatica,,,,
 Zucchero,150.0,g,Diplomatica,,,,
 Farina 00,75.0,g,Diplomatica,,,,
 Fecola di patate,75.0,g,Diplomatica,,,,
